customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,num_support_calls,churn
1,52,45.47,5263.1,Two year,No,Yes,Mailed check,4,0
2,15,104.09,7189.12,Month-to-month,Fiber optic,No,Mailed check,1,1
3,61,23.84,3208.16,One year,Fiber optic,Yes,Credit card,1,0
4,21,110.18,2627.82,Month-to-month,DSL,Yes,Bank transfer,2,0
5,24,66.15,106.27,One year,No,No,Mailed check,1,0
6,3,83.72,6615.88,Month-to-month,DSL,No,Electronic check,5,1
7,22,85.94,6411.83,Month-to-month,No,No,Electronic check,2,1
8,53,109.51,853.55,Two year,Fiber optic,No,Electronic check,0,0
9,2,83.67,4623.32,Month-to-month,DSL,Yes,Credit card,1,1
10,30,81.39,3722.57,Two year,No,Yes,Credit card,2,0
11,38,26.67,967.3,Two year,DSL,No,Credit card,1,0
12,2,71.84,7844.93,Month-to-month,Fiber optic,Yes,Credit card,1,1
13,64,35.02,1733.27,Month-to-month,Fiber optic,Yes,Electronic check,1,1
14,60,93.74,556.53,One year,DSL,No,Electronic check,0,0
15,21,71.22,4766.88,Two year,Fiber optic,Yes,Credit card,0,0
16,33,88.02,5916.16,Two year,Fiber optic,Yes,Credit card,0,0
17,58,24.17,278.9,Month-to-month,Fiber optic,No,Electronic check,3,0
18,22,28.48,5276.57,One year,DSL,No,Credit card,0,0
19,49,91.63,4267.69,Month-to-month,No,No,Credit card,1,1
20,59,27.21,844.05,Two year,DSL,No,Credit card,2,1
21,42,27.13,1396.74,Two year,DSL,No,Credit card,1,0
22,60,21.21,4552.43,Month-to-month,DSL,No,Mailed check,1,1
23,15,115.65,2384.93,Month-to-month,DSL,No,Credit card,1,1
24,62,93.75,7507.76,Month-to-month,DSL,Yes,Electronic check,1,1
25,62,55.33,6553.55,Month-to-month,No,Yes,Electronic check,1,0
26,47,49.65,7868.87,Two year,DSL,No,Electronic check,2,0
27,62,54.97,2092.17,Month-to-month,DSL,No,Electronic check,2,1
28,51,97.47,7758.39,Month-to-month,DSL,No,Credit card,1,1
29,55,86.14,3461.25,Month-to-month,Fiber optic,No,Mailed check,1,1
30,64,38.52,2793.2,Two year,No,No,Bank transfer,2,0
31,3,37.41,421.79,One year,DSL,No,Bank transfer,1,1
32,51,29.84,441.07,Month-to-month,DSL,No,Bank transfer,2,1
33,7,86.03,5542.25,Month-to-month,DSL,Yes,Bank transfer,1,1
34,21,96.44,3674.27,Two year,DSL,No,Electronic check,3,0
35,39,46.5,1827.64,Two year,DSL,Yes,Credit card,2,0
36,18,22.09,4919.48,Month-to-month,Fiber optic,No,Credit card,1,1
37,4,28.22,2037.81,Month-to-month,DSL,No,Bank transfer,2,0
38,60,116.79,4629.5,Month-to-month,Fiber optic,No,Bank transfer,4,0
39,14,49.54,2886.49,Month-to-month,DSL,No,Mailed check,0,1
40,9,96.92,6591.95,One year,No,No,Mailed check,3,0
41,53,82.47,6569.16,Two year,No,Yes,Mailed check,1,0
42,2,58.19,3829.26,Month-to-month,Fiber optic,Yes,Electronic check,3,1
43,60,40.57,2819.54,Two year,Fiber optic,No,Credit card,0,0
44,71,32.14,2913.23,Month-to-month,Fiber optic,No,Electronic check,0,1
45,44,81.5,6449.6,One year,Fiber optic,No,Electronic check,1,0
46,8,97.46,2638.87,One year,Fiber optic,Yes,Credit card,4,1
47,47,84.39,1688.29,Month-to-month,Fiber optic,No,Mailed check,2,1
48,35,73.03,695.81,Month-to-month,No,No,Credit card,3,1
49,36,24.2,3744.21,One year,No,No,Bank transfer,2,0
50,50,116.85,3867.41,Month-to-month,DSL,No,Mailed check,4,1
51,4,99.87,6730.45,Month-to-month,Fiber optic,No,Credit card,5,1
52,2,49.28,1785.48,Month-to-month,DSL,No,Electronic check,2,1
53,6,118.0,3060.31,Two year,DSL,No,Credit card,1,0
54,54,80.19,6471.08,Month-to-month,Fiber optic,No,Mailed check,2,1
55,4,78.24,6592.52,Two year,DSL,Yes,Bank transfer,2,0
56,54,94.81,3089.2,Month-to-month,No,No,Electronic check,1,1
57,63,101.18,3683.81,One year,DSL,Yes,Bank transfer,3,0
58,18,85.65,2440.22,One year,Fiber optic,Yes,Bank transfer,2,0
59,44,32.81,7461.79,Two year,Fiber optic,No,Electronic check,3,0
